series,"05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025"
United States,1629,1838,1968,1880,1767,1914,1753,3594,1347,1147,1184,1307,1528,1476,1674,1520,1573,1620,1459,2044,1662,1474,1659,1717,1946,1853,2073,1891,1676,1778,1529,2513,1644,1367,1533,1572,1668,1670,1830,1614,1539,1567,1403,2075,,,,,,,,,,,,,,,,,
United States Clearances,874,857,966,925,869,954,835,1757,668,657,738,724,746,756,812,754,785,797,740,731,849,833,1000,877,989,963,998,1053,879,860,834,1146,996,860,980,879,936,927,987,917,894,890,846,959,,,,,,,,,,,,,,,,,
